id,name,layer,lat,lon
07a563011692047222b3ad1e57f66d42bb3b9c15b3062dbd9cde48fbb1b73f8e,Sinopec Zhanjiang Oil Tank Farm,['storage_terminal'],21.19105596,110.4157773
07ac020aa082d5d116f829ef28a40e9876c0644aeb4f0480202c1a86bb8adf7f,Far East,"['alternative_region', 'trading_block']",37.81754114,117.8143879
07aee1728c479a961c8ea81264a5604f1aec50b643f90ff4ba289d083111e687,Milford Haven Terminal,['storage_terminal'],51.69844881,-4.997751897
07b2b0cbddda49864dd2e5f763bb24bf51700abf2dc7e9052f9a91ecfe50318e,Terminal Pascuales,['storage_terminal'],-2.223486496,-79.92759705
07b3d8cde1b16bc1eb6b2b10692059ada0d578c73a442fc3a176c2e6474a5dfc,American Midstream,['storage_terminal'],33.03578515,-96.20018299
07efb67db96a799234f589ae7bb1f2b013d98504fdcfc175cceb6edda535d56a,Landulpho Alves Refinery (RLAM),['storage_terminal'],-12.75069743,-38.62483978
080344cef1cf9d11f443b7ff7ef7ea145037463c65795e021011cbe74be149d4,Tuticorin [IN],"['port', 'storage']",8.750975402,78.21718281
081236676b344d40568f9f8771d084df7cf19bb4a8ea4b11614a404369f9c406,Covenas [CO],"['port', 'storage']",9.506475202,-75.76134073
081e0fe6ce3ecb34540e4243cf51f26881595dbf8cffd6882bc36ec98965eca8,"Batangas-Calaca, Luzon [PH]","['port', 'storage']",13.79571563,120.9377973
082e28c5420ab5cd1c7129cd8464b0ce3e8a1133a9817c91aa399b2f1c2b1f43,BP Lingen Refinery,['storage_terminal'],52.55981107,7.301487331
084ba04b62f4cfa166e0645f807e6bc88c138b4c3e6f5ef093e2166384486fe0,Zirku Island [AE],"['port', 'storage']",25.01921154,52.98842205
086754b4ff198d60485fec6f5348c0285e21b8440e3790932df8abf0831a46e0,Khorramshahr [IR],"['port', 'storage']",30.44542757,48.13392158
08766fdbd2346d6a9bc1f522d284f28bd6417080afb1dce39c16c8fdc54c0ef9,ENEOS Wakayama Refinery,['storage_terminal'],34.20246855,135.1457541
088c549b373a53235bdb5c4c18faf37ebc02d6e99875d9d30179973aecac2511,Sinopec Anqing Refinery,['storage_terminal'],30.50565989,117.0923566
0897165b41870b76487889ee9f4bf3c25441df38968f25a3527083df809a5250,Austria,['country'],47.5870579,14.14056542
08972f9181c19dc2aabda89cc96958a318d94c4f13592e5b1991ed17b3f7f9f0,Texaco Puerto Cortez,['storage_terminal'],15.84292766,-87.95654737
089c7804ea0c76acc3a4752044c8b4013271a15e3b075ccabc862b54afa1f606,Ennore Port [IN],"['port', 'storage']",13.28519667,80.3453115
08b7f44f5dc7ecc19f304f15840c5adbaa11524d2488dde743854334be3c7725,South Pars Kangan Site - Phase 16,['storage_terminal'],27.69462989,52.15289072
08bbaf7a67ab30036d73b9604b932352a73905e16b8342b27f02ae34941b7db5,Military Oil Depot,['storage_terminal'],30.14027173,49.109899
08ea3ae34ef95340752aefe87a2a88aa4a7ec5accbf7d640ccce23c18d2bddd3,Panipat Refinery,['storage_terminal'],21.68753595,72.50891581
0909f6f580cbb25ad42df2bd91d50c3b192d50531478d1c9eef04b633e72182b,"Philadelphia, PA [US]","['port', 'storage']",39.90210777,-75.17612584
090a945aef00a8513a1e494e5b8f0882f75f73d3e55a1963c63d37d2f8a88e1a,Petroperu Planta de Ventas,['storage_terminal'],-4.578376591,-81.29237054
09135c8b3bb01ecfe6cfd325c4b9f969fda5235b8dcb012e5ee5ec6f21ddc33d,Shell Deer Park Refinery,['storage_terminal'],29.7192561,-95.14733477
091465d3e2fdd58261597d17065eb4f9022e82665590ba12be14a0d9dbfd33c6,Botlek Refinery,['storage_terminal'],51.90924177,4.279414829
091f800e7bdac2a488d37fbb941b9f092a76d030630e3e5831d03b88f6fd798d,Valero Houston Refinery,['storage_terminal'],29.7192561,-95.14733477
0957cacaab59404aea74baaefd379ef8f3031ab156f2ec3ab5a19ced1b6d9a6c,ORYX Sierra Leone Ltd,['storage_terminal'],8.490108504,-13.20343065
0977348ce2a2cae1e73d4590a995efc15700881c993527179bb87be94673c720,Ras Al Khafji [SA],"['port', 'storage']",28.45005669,48.60821302
